lesson_id,level,module,lesson,module_title,communication_goal,speaking_design_brief,writing_design_brief,language_to_teach_or_refresh,delayed_check_design,status
active-a1-m01-l01,A1,1,1,"Hello, this is me",Introduce yourself by name,Introduce yourself by name. Use a spoken answer in this setting: a friendly first meeting. The partner asks one relevant question at a time.,Introduce yourself by name. Write for this purpose: a class introduction. Include only the information the reader needs.,"ich heiße / bin; komme aus; wohne in, taught as chunks",Introduce yourself to a club organiser who asks the details in a different order,draft—teacher review required
active-a1-m01-l02,A1,1,2,"Hello, this is me",Say which country you are from,Say which country you are from. Use a spoken answer in this setting: a friendly first meeting. The partner asks one relevant question at a time.,Say which country you are from. Write for this purpose: a class introduction. Include only the information the reader needs.,"ich heiße / bin; komme aus; wohne in, taught as chunks",Introduce yourself to a club organiser who asks the details in a different order,draft—teacher review required
active-a1-m01-l03,A1,1,3,"Hello, this is me",Say where you live,Say where you live. Use a spoken answer in this setting: a friendly first meeting. The partner asks one relevant question at a time.,Say where you live. Write for this purpose: a class introduction. Include only the information the reader needs.,"ich heiße / bin; komme aus; wohne in, taught as chunks",Introduce yourself to a club organiser who asks the details in a different order,draft—teacher review required
active-a1-m01-l04,A1,1,4,"Hello, this is me",Give a tiny introduction to a new classmate,Give a tiny introduction to a new classmate. Use a spoken answer in this setting: a friendly first meeting. The partner asks one relevant question at a time.,Give a tiny introduction to a new classmate. Write for this purpose: a class introduction. Include only the information the reader needs.,"ich heiße / bin; komme aus; wohne in, taught as chunks",Introduce yourself to a club organiser who asks the details in a different order,draft—teacher review required
active-a1-m02-l01,A1,2,1,Family and people,Name a family member or someone important to you,Name a family member or someone important to you. Use a spoken answer in this setting: a friend asks about people in a picture. The partner asks one relevant question at a time.,Name a family member or someone important to you. Write for this purpose: a short message introducing a person. Include only the information the reader needs.,er/sie; ist; mein/meine; simple personal adjectives; optional fictional people,Describe a different household or a fictional group rather than repeat your own family script,draft—teacher review required
active-a1-m02-l02,A1,2,2,Family and people,Say how two people are related,Say how two people are related. Use a spoken answer in this setting: a friend asks about people in a picture. The partner asks one relevant question at a time.,Say how two people are related. Write for this purpose: a short message introducing a person. Include only the information the reader needs.,er/sie; ist; mein/meine; simple personal adjectives; optional fictional people,Describe a different household or a fictional group rather than repeat your own family script,draft—teacher review required
active-a1-m02-l03,A1,2,3,Family and people,Give one simple description of a person,Give one simple description of a person. Use a spoken answer in this setting: a friend asks about people in a picture. The partner asks one relevant question at a time.,Give one simple description of a person. Write for this purpose: a short message introducing a person. Include only the information the reader needs.,er/sie; ist; mein/meine; simple personal adjectives; optional fictional people,Describe a different household or a fictional group rather than repeat your own family script,draft—teacher review required
active-a1-m02-l04,A1,2,4,Family and people,Introduce someone to a friend,Introduce someone to a friend. Use a spoken answer in this setting: a friend asks about people in a picture. The partner asks one relevant question at a time.,Introduce someone to a friend. Write for this purpose: a short message introducing a person. Include only the information the reader needs.,er/sie; ist; mein/meine; simple personal adjectives; optional fictional people,Describe a different household or a fictional group rather than repeat your own family script,draft—teacher review required
active-a1-m03-l01,A1,3,1,Home and belongings,Name familiar things in a room,Name familiar things in a room. Use a spoken answer in this setting: a visitor asks about your room. The partner asks one relevant question at a time.,Name familiar things in a room. Write for this purpose: a small note for a house guest. Include only the information the reader needs.,der/die/das; ein/eine; haben; formulaic location phrases with a small taught set,Explain a different room layout to a visitor using supplied picture information,draft—teacher review required
active-a1-m03-l02,A1,3,2,Home and belongings,Describe one room in simple terms,Describe one room in simple terms. Use a spoken answer in this setting: a visitor asks about your room. The partner asks one relevant question at a time.,Describe one room in simple terms. Write for this purpose: a small note for a house guest. Include only the information the reader needs.,der/die/das; ein/eine; haben; formulaic location phrases with a small taught set,Explain a different room layout to a visitor using supplied picture information,draft—teacher review required
