1|Mila travels by train to Lindenstadt.|She has moved from a village to start a bakery job.|Her mother encourages her, but Mila worries about fitting in.|The train arrives, and Mila gets ready to step off.
2|Mila reaches the busy station but does not know the way home.|A man with a dog notices that she needs directions.|He points her toward Rosenstraße beside the pharmacy.|Her new landlady, Frau Berg, welcomes her at the house.
3|Mila's new room is small, bright, and simply furnished.|Frau Berg shows Mila the bathroom and their shared kitchen.|Mila puts up photographs of her family and their garden.|From her window, she hears the unfamiliar sounds of city life.
4|Mila wakes early for her first day at the bakery.|Frau Berg tells her which bus to take.|Mila checks that she has her keys, phone, money, and ticket.|On the bus, she watches the shops and market pass by.
5|Mila arrives at Morgenbrot and smells fresh bread.|Sara welcomes Mila and gives her a work apron.|Herr König shows Mila the bakery and its equipment.|The morning gets busy, and Mila serves her first customer.
6|Sara patiently teaches Mila how the bakery works.|Mila accidentally gives a customer the wrong cake.|She corrects her mistake, and Herr König reassures her.|At break time, Mila says her first day is going well.
7|Mila misses the bus after work.|The long wait and her tired feet make her notice passing bicycles.|She remembers how often she cycled in her village.|Mila decides a bicycle could make city life easier.
8|Mila meets Jonas, a neighbor who wears a bicycle helmet.|Jonas says he works at a bicycle shop.|His nearby workshop also sells used bicycles.|He invites Mila to come and see them the next day.
9|Mila visits Jonas at the bicycle shop.|She tests three bicycles, including one with a blue basket.|The blue bicycle feels comfortable and works well.|Mila buys it, and Jonas finds her a lock.
10|Mila cycles home carefully, checking her route on her phone.|She buys food at the market and carries it in the blue basket.|Mila stops briefly beside a park.|The bicycle gets her home sooner than the bus.
11|Mila tells her mother about work, Sara, and her bicycle.|Her mother hears that Mila is starting to feel content.|They laugh about Mila's cake mistake at work.|Mila prepares to cycle to the bakery the next morning.
12|Mila rides through the cool morning streets.|She locks her bicycle outside the bakery, where Sara notices it.|Sara admires how much the blue basket can hold.|Knowing where things belong makes Mila calmer at work.
13|Mila puts too few rolls in a customer's bag.|She counts again and adds the missing roll.|Sara teaches her to check each order before handing it over.|Mila uses the advice and learns from her mistake.
14|Mila brings home two rolls for Frau Berg.|Over tea, she says she likes Lindenstadt more each day.|Frau Berg describes the lively Saturday market.|Mila plans to explore the market that weekend.
15|Mila leaves work after the rain eases.|Her bicycle chain slips off while she rides home.|Unable to fix it, Mila calls Jonas for help.|Jonas arrives and puts the chain back on.
16|Jonas notices that Mila's blue basket is loose.|While fixing a screw, they spot something beneath it.|Jonas pulls out a small gray cloth pouch.|Mila takes the pouch home as the rain grows heavier.
17|Mila examines the small, dirty pouch in her room.|She tells Jonas she is about to open it.|Inside, she finds an old key and a folded paper.|The paper says “Garden 17,” so Mila sends Jonas a photo.
18|Mila and Jonas wonder whether the key belongs to a garden shed.|Mila remembers the gardens outside the city.|She shows the key and paper to Frau Berg.|Frau Berg suggests looking near the old railway station.
19|Mila tells Jonas about Frau Berg's suggestion.|Jonas knows the Sonnenhof gardens near the old station.|They are unsure whether the key belongs to Garden 17.|Both are free on Sunday and agree to go there.
20|After work, Mila buys strawberries and a yellow flower.|She places the flower beside the mysterious key.|Although she is new, Mila already has work and new acquaintances.|She puts the key in her pocket for Sunday's visit.
21|Mila packs for a Sunday trip to find Garden 17.|Jonas meets her with a map, and they set off by bike.|They ride through quiet streets beside a river.|A sign for the Sonnenhof garden complex appears.
22|At the entrance, Mila searches a map for Garden 17.|Jonas finds it at the end of a winding path.|The busy gardens are full of people, plants and music.|Mila hopes to find the small garden among them.
23|The paths confuse Mila and Jonas.|They ask an older woman in a red hat for directions.|She points them toward the yellow house and the third garden.|The woman notices Mila's key and suddenly looks serious.
24|They reach the gate marked 17.|The garden is overgrown and covered with dry leaves.|Mila sees a locked shed and wonders whether her key fits.|Jonas suggests waiting until they know who owns the garden.
25|The woman returns and introduces herself as Mrs Albers.|Mila tells her about the bicycle, bag, key and note.|Mrs Albers asks to examine the key.|She recognizes it as a likely key to the shed.
26|Mrs Albers says the garden belongs to Mr Weber.|He now lives with his daughter and may miss the garden.|Mila asks whether her bicycle might be his.|Mrs Albers recognizes its blue basket from the garden.
27|Mila wants Mr Weber's permission before opening the shed.|Mrs Albers suggests asking at the garden office.|The office is closed until Wednesday evening.|They plan to return, respecting the owner's privacy.
28|They look through the fence before leaving.|Roses and old plant labels survive among the tall grass.|Mila imagines Mr Weber enjoying coffee at the garden table.|She goes home thinking about the neglected garden.
29|Mila helps Mrs Berg bake an apple cake and shares the news.|Mrs Berg agrees that they should find the key's owner.|She is intrigued by how a small discovery grew.|Mila wants to understand why Mr Weber left the key behind.
